,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,955152.0,pvp,mouse,76.0,5.861530062208644,1.33,0.23,11.1840872549942,10.161436968866802,0.9677960443576524,7.167342947709071,0.9837077496301674
1,955152.0,pvp,mouse,114.0,6.438197784198078,1.33,0.24,27.773445640965985,15.849097263168709,1.5715490628042377,4.593266062677627,0.98576958473762
2,955152.0,pvp,mouse,38.0,4.8861320354417215,1.33,0.2,7.95698661891533,8.779474679425626,1.1367902558561205,5.514553148376504,0.9916043493640536
3,955152.0,pvp,mouse,95.0,6.178487014945737,1.33,0.12,42.730359027045765,12.196479990814428,1.1630834922424285,5.728266060549302,0.972223458953154
4,955152.0,pvp,mouse,19.0,3.934112064343543,1.33,0.16,6.218402313334538,6.838651801298923,1.0128398328029564,5.423190613440055,0.951965815031372
5,955152.0,pvp,mouse,57.0,5.454739923312576,1.33,0.14,18.497223443085616,8.952217690847782,0.9616787532790092,6.14245481332224,0.9850100534928504
6,955152.0,pvp,touchpad,38.0,4.8861320354417215,1.33,0.11,18.492292536856937,4.908528196515247,1.203813197897386,3.67319601615008,0.9785488295521952
7,955152.0,pvp,touchpad,114.0,6.438197784198078,1.33,0.1,28.537988352738186,33.787398456296344,1.3340483712841205,6.157980819748397,0.981543690398203
8,955152.0,pvp,touchpad,57.0,5.454739923312576,1.33,0.1,23.63891857002038,11.579632139551457,1.1758040165428163,5.466567536637251,0.9796896735461508
9,955152.0,pvp,touchpad,95.0,6.178487014945737,1.33,0.12,15.551982212707918,23.07119452261873,1.3148899539080392,5.750096063189629,0.9827801098769338
10,955152.0,pvp,touchpad,19.0,3.934112064343543,1.33,0.09,8.800650690996957,2.3957153469512185,0.9671681442747688,3.676234688886255,0.966600867479806
11,955152.0,pvp,touchpad,76.0,5.861530062208644,1.33,0.2,19.86278757920621,14.211317225073795,1.297042269726451,5.228489398484032,0.9808438493639882
12,955152.0,fitts,controller,114.0,6.08037341646402,1.71,0.53,20.88023585826975,21.823675968860535,2.613550696142465,2.294833437907281,0.9545936296419808
13,955152.0,fitts,controller,76.0,3.713829095368272,6.2700000000000005,0.42,20.192118194813588,20.68314687654936,1.5679168666620344,3.183686120145683,0.9821290596149403
14,955152.0,fitts,controller,95.0,3.5982593233346143,8.55,0.46,19.186884013812325,18.04406689749386,1.5655845350197417,2.8237648040836,0.975166099349961
15,955152.0,fitts,controller,38.0,3.5982593233346143,3.42,0.52,7.600846712305904,8.609715899010931,1.8200006678599467,2.335269194326176,0.9494661757314288
16,955152.0,fitts,controller,57.0,4.589579128791526,2.47,0.44,11.598725636481856,12.118447816586922,2.1152857297724075,2.153470197271975,0.9729219144192988
17,955152.0,fitts,controller,19.0,1.3856536924977498,11.78,0.39,4.198307751579943,7.320488755740858,0.9744536841362038,2.115341286935778,0.9914725946697682
